Checking:  C:\Users\itsja\Documents\StarCraft II\Accounts\306330569\1-S2-1-10290556\Replays\Multiplayer\Replays\Part2
------------------------------------------------------------
filename,build,map_name,game_duration_loops,players,P1-outcome,P1-race,P1-apm,P2-race,P2-apm
Replay (16501).SC2Replay,55958,Abyssal Reef LE,18151,2,Defeat,Protoss,132,Protoss,61
Replay (16502).SC2Replay,55958,Mech Depot LE,12796,2,Defeat,Zerg,285,Terran,208
Replay (16503).SC2Replay,55958,Ascension to Aiur LE,33,2,Defeat,Protoss,0,Terran,125
Replay (16504).SC2Replay,55958,Ascension to Aiur LE,5934,2,Defeat,Terran,221,Zerg,111
Replay (16505).SC2Replay,55958,Ascension to Aiur LE,7220,2,Defeat,Protoss,85,Terran,176
Replay (16506).SC2Replay,55958,Abyssal Reef LE,7439,2,Defeat,Terran,228,Zerg,208
Replay (16507).SC2Replay,55958,Ascension to Aiur LE,21198,2,Victory,Zerg,324,Zerg,351
Replay (16508).SC2Replay,55958,Catallena LE (Void),7230,2,Defeat,Terran,26,Protoss,188
Replay (16509).SC2Replay,55958,Odyssey LE,4915,2,Victory,Zerg,74,Zerg,109
Replay (16510).SC2Replay,55958,Interloper LE,20729,2,Defeat,Protoss,113,Zerg,204
Replay (16511).SC2Replay,55958,Acolyte LE,20,2,Defeat,Protoss,0,Zerg,335
Replay (16512).SC2Replay,55958,Abyssal Reef LE,28832,2,Defeat,Protoss,74,Protoss,65
Replay (16513).SC2Replay,55958,Ascension to Aiur LE,71,2,Victory,Terran,125,Terran,0
Replay (16514).SC2Replay,55958,Mech Depot LE,5474,2,Defeat,Terran,281,Terran,137
Replay (16515).SC2Replay,55958,Ascension to Aiur LE,7345,2,Victory,Protoss,166,Terran,186
Replay (16516).SC2Replay,55958,Interloper LE,32905,2,Victory,Terran,172,Zerg,195
Replay (16517).SC2Replay,55958,Odyssey LE,9270,2,Victory,Terran,134,Protoss,137
Replay (16518).SC2Replay,55958,Ascension to Aiur LE,31624,2,Defeat,Terran,160,Terran,176
Replay (16519).SC2Replay,55958,Acolyte LE,22672,2,Defeat,Protoss,81,Zerg,125
Replay (16520).SC2Replay,55958,Ascension to Aiur LE,3484,2,Victory,Protoss,128,Zerg,36
Replay (16521).SC2Replay,55958,Odyssey LE,4525,2,Defeat,Terran,134,Terran,207
Replay (16522).SC2Replay,55958,Mech Depot LE,837,2,Defeat,Protoss,83,Zerg,40
Replay (16523).SC2Replay,55958,Ascension to Aiur LE,24489,2,Victory,Terran,180,Zerg,170
Replay (16524).SC2Replay,55958,Ascension to Aiur LE,13182,2,Victory,Zerg,246,Terran,235
Replay (16525).SC2Replay,55958,Mech Depot LE,15543,2,Victory,Protoss,274,Zerg,141
Replay (16526).SC2Replay,55958,Abyssal Reef LE,25784,2,Victory,Protoss,215,Terran,235
Replay (16527).SC2Replay,55958,Interloper LE,17037,2,Defeat,Terran,103,Protoss,109
Replay (16528).SC2Replay,55958,Mech Depot LE,22841,2,Victory,Terran,121,Protoss,215
Replay (16529).SC2Replay,55958,Interloper LE,6562,2,Defeat,Zerg,200,Protoss,243
Replay (16530).SC2Replay,55958,Catallena LE (Void),35388,2,Victory,Protoss,117,Terran,165
Replay (16531).SC2Replay,55958,Ascension to Aiur LE,23232,2,Defeat,Terran,106,Terran,216
Replay (16532).SC2Replay,55958,Abyssal Reef LE,19444,2,Defeat,Zerg,138,Zerg,149
Replay (16533).SC2Replay,55958,Odyssey LE,21973,2,Defeat,Zerg,124,Terran,127
Replay (16534).SC2Replay,55958,Mech Depot LE,18907,2,Defeat,Protoss,277,Terran,214
Replay (16535).SC2Replay,55958,Interloper LE,54,2,Victory,Terran,0,Terran,0
Replay (16536).SC2Replay,55958,Odyssey LE,17307,2,Victory,Protoss,81,Protoss,106
Replay (16537).SC2Replay,55958,Interloper LE,12218,2,Victory,Protoss,137,Zerg,263
Replay (16538).SC2Replay,55958,Catallena LE (Void),18072,2,Victory,Terran,201,Terran,169
Replay (16539).SC2Replay,55958,Odyssey LE,12196,2,Victory,Protoss,197,Protoss,130
Replay (16540).SC2Replay,55958,Odyssey LE,74,2,Defeat,Zerg,0,Zerg,335
Replay (16541).SC2Replay,55958,Ascension to Aiur LE,22135,2,Victory,Terran,61,Terran,74
Replay (16542).SC2Replay,55958,Odyssey LE,16133,2,Defeat,Terran,162,Terran,90
Replay (16543).SC2Replay,55958,Ascension to Aiur LE,16018,2,Defeat,Terran,146,Protoss,55
