Checking:  C:\Users\itsja\Documents\StarCraft II\Accounts\306330569\1-S2-1-10290556\Replays\Multiplayer\Replays\Part1
------------------------------------------------------------
filename,build,map_name,game_duration_loops,players,P1-outcome,P1-race,P1-apm,P2-race,P2-apm
Replay (1).SC2Replay,55958,Abyssal Reef LE,8261,2,Victory,Protoss,116,Terran,121
Replay (10).SC2Replay,55958,Catallena LE (Void),30752,2,Defeat,Zerg,156,Terran,139
Replay (100).SC2Replay,55958,Interloper LE,19442,2,Victory,Terran,72,Terran,61
Replay (1000).SC2Replay,55958,Abyssal Reef LE,23474,2,Victory,Terran,120,Protoss,107
Replay (10000).SC2Replay,55958,Abyssal Reef LE,21463,2,Defeat,Zerg,160,Protoss,131
Replay (10001).SC2Replay,55958,Abyssal Reef LE,8548,2,Victory,Terran,50,Protoss,86
Replay (10002).SC2Replay,55958,Ascension to Aiur LE,130,2,Victory,Zerg,32,Terran,0
Replay (10003).SC2Replay,55958,Interloper LE,3366,2,Victory,Protoss,100,Terran,93
Replay (10004).SC2Replay,55958,Catallena LE (Void),23191,2,Victory,Terran,96,Zerg,139
Replay (10005).SC2Replay,55958,Abyssal Reef LE,13057,2,Defeat,Terran,167,Terran,160
Replay (10006).SC2Replay,55958,Abyssal Reef LE,11910,2,Victory,Protoss,242,Terran,41
Replay (10007).SC2Replay,55958,Catallena LE (Void),29523,2,Victory,Terran,113,Zerg,117
Replay (10008).SC2Replay,55958,Abyssal Reef LE,16201,2,Defeat,Terran,93,Protoss,60
Replay (10009).SC2Replay,55958,Acolyte LE,33809,2,Defeat,Terran,97,Terran,103
Replay (1001).SC2Replay,55958,Mech Depot LE,66,2,Victory,Terran,0,Terran,0
Replay (10010).SC2Replay,55958,Ascension to Aiur LE,61,2,Victory,Zerg,139,Zerg,0
Replay (10011).SC2Replay,55958,Odyssey LE,22802,2,Defeat,Zerg,96,Protoss,71
Replay (10012).SC2Replay,55958,Mech Depot LE,32042,2,Victory,Protoss,135,Zerg,135
Replay (10013).SC2Replay,55958,Abyssal Reef LE,1073,2,Victory,Protoss,74,Terran,181
Replay (10014).SC2Replay,55958,Acolyte LE,21830,2,Victory,Terran,216,Zerg,177
Replay (10015).SC2Replay,55958,Interloper LE,17292,2,Defeat,Terran,64,Terran,148
Replay (10016).SC2Replay,55958,Interloper LE,7752,2,Defeat,Terran,169,Terran,141
Replay (10017).SC2Replay,55958,Acolyte LE,5353,2,Defeat,Terran,156,Terran,219
Replay (10018).SC2Replay,55958,Catallena LE (Void),15094,2,Defeat,Terran,123,Zerg,132
Replay (10019).SC2Replay,55958,Abyssal Reef LE,23938,2,Defeat,Terran,132,Terran,191
Replay (1002).SC2Replay,55958,Abyssal Reef LE,5455,2,Victory,Zerg,131,Protoss,131
Replay (10020).SC2Replay,55958,Interloper LE,10238,2,Victory,Terran,58,Zerg,75
Replay (10021).SC2Replay,55958,Ascension to Aiur LE,48908,2,Victory,Terran,170,Protoss,233
