Checking:  C:\Users\itsja\Documents\StarCraft II\Accounts\306330569\1-S2-1-10290556\Replays\Multiplayer\Replays\Part4
------------------------------------------------------------
filename,build,map_name,game_duration_loops,players,P1-outcome,P1-race,P1-apm,P2-race,P2-apm
Replay (49501).SC2Replay,55958,Odyssey LE,8233,2,Defeat,Terran,135,Zerg,152
Replay (49502).SC2Replay,55958,Mech Depot LE,21174,2,Victory,Protoss,57,Terran,86
Replay (49503).SC2Replay,55958,Ascension to Aiur LE,7179,2,Defeat,Protoss,40,Terran,79
Replay (49504).SC2Replay,55958,Interloper LE,25,2,Defeat,Zerg,0,Zerg,0
Replay (49505).SC2Replay,55958,Mech Depot LE,22599,2,Defeat,Zerg,228,Zerg,265
Replay (49506).SC2Replay,55958,Catallena LE (Void),12349,2,Defeat,Zerg,239,Zerg,197
Replay (49507).SC2Replay,55958,Catallena LE (Void),8587,2,Victory,Terran,295,Terran,243
Replay (49508).SC2Replay,55958,Mech Depot LE,20234,2,Victory,Zerg,237,Terran,139
Replay (49509).SC2Replay,55958,Acolyte LE,18222,2,Defeat,Zerg,104,Protoss,68
Replay (49510).SC2Replay,55958,Abyssal Reef LE,12144,2,Defeat,Zerg,100,Protoss,144
Replay (49511).SC2Replay,55958,Odyssey LE,12717,2,Victory,Terran,144,Protoss,53
Replay (49512).SC2Replay,55958,Acolyte LE,16632,2,Defeat,Protoss,190,Protoss,118
Replay (49513).SC2Replay,55958,Mech Depot LE,93,2,Victory,Terran,0,Terran,0
Replay (49514).SC2Replay,55958,Catallena LE (Void),13305,2,Victory,Terran,135,Terran,89
Replay (49515).SC2Replay,55958,Acolyte LE,8757,2,Defeat,Zerg,207,Zerg,211
Replay (49516).SC2Replay,55958,Odyssey LE,5475,2,Defeat,Protoss,324,Zerg,110
Replay (49517).SC2Replay,55958,Ascension to Aiur LE,5262,2,Defeat,Terran,72,Protoss,114
Replay (49518).SC2Replay,55958,Mech Depot LE,8348,2,Victory,Zerg,267,Zerg,124
Replay (49519).SC2Replay,55958,Odyssey LE,118,2,Victory,Terran,96,Terran,96
Replay (49520).SC2Replay,55958,Mech Depot LE,5668,2,Defeat,Protoss,180,Terran,212
Replay (49521).SC2Replay,55958,Catallena LE (Void),22259,2,Defeat,Protoss,62,Protoss,36
Replay (49522).SC2Replay,55958,Ascension to Aiur LE,9485,2,Victory,Protoss,111,Zerg,214
Replay (49523).SC2Replay,55958,Odyssey LE,16252,2,Defeat,Terran,132,Zerg,179
Replay (49524).SC2Replay,55958,Ascension to Aiur LE,15667,2,Victory,Terran,102,Protoss,85
Replay (49525).SC2Replay,55958,Acolyte LE,4406,2,Defeat,Zerg,72,Protoss,65
Replay (49526).SC2Replay,55958,Odyssey LE,21832,2,Victory,Terran,125,Zerg,139
Replay (49527).SC2Replay,55958,Ascension to Aiur LE,51991,2,Defeat,Protoss,67,Protoss,58
Replay (49528).SC2Replay,55958,Interloper LE,11013,2,Defeat,Zerg,237,Terran,106
Replay (49529).SC2Replay,55958,Acolyte LE,14384,2,Victory,Protoss,61,Zerg,51
Replay (49530).SC2Replay,55958,Odyssey LE,37,2,Defeat,Terran,0,Terran,251
Replay (49531).SC2Replay,55958,Ascension to Aiur LE,25,2,Victory,Protoss,167,Zerg,0
Replay (49532).SC2Replay,55958,Odyssey LE,580,2,Victory,Zerg,95,Terran,55
Replay (49533).SC2Replay,55958,Acolyte LE,22826,2,Defeat,Terran,221,Zerg,230
Replay (49534).SC2Replay,55958,Catallena LE (Void),11603,2,Defeat,Terran,89,Protoss,128
Replay (49535).SC2Replay,55958,Ascension to Aiur LE,22324,2,Victory,Terran,260,Zerg,229
Replay (49536).SC2Replay,55958,Abyssal Reef LE,10542,2,Victory,Terran,125,Terran,60
Replay (49537).SC2Replay,55958,Interloper LE,10027,2,Defeat,Protoss,64,Zerg,141
Replay (49538).SC2Replay,55958,Interloper LE,97,2,Defeat,Protoss,0,Protoss,83
Replay (49539).SC2Replay,55958,Mech Depot LE,22048,2,Defeat,Zerg,214,Terran,110
Replay (49540).SC2Replay,55958,Odyssey LE,18714,2,Defeat,Terran,242,Zerg,222
Replay (49541).SC2Replay,55958,Acolyte LE,7804,2,Defeat,Zerg,121,Zerg,289
Replay (49542).SC2Replay,55958,Interloper LE,20232,2,Defeat,Terran,81,Zerg,145
Replay (49543).SC2Replay,55958,Acolyte LE,10405,2,Victory,Protoss,62,Terran,64
Replay (49544).SC2Replay,55958,Catallena LE (Void),29536,2,Victory,Protoss,78,Zerg,145
Replay (49545).SC2Replay,55958,Acolyte LE,17089,2,Victory,Protoss,88,Zerg,81
Replay (49546).SC2Replay,55958,Acolyte LE,26939,2,Victory,Protoss,215,Zerg,277
Replay (49547).SC2Replay,55958,Acolyte LE,8200,2,Victory,Protoss,74,Terran,123
Replay (49548).SC2Replay,55958,Abyssal Reef LE,14339,2,Defeat,Protoss,22,Terran,139
Replay (49549).SC2Replay,55958,Ascension to Aiur LE,19727,2,Defeat,Terran,250,Terran,158
Replay (49550).SC2Replay,55958,Odyssey LE,14417,2,Victory,Zerg,71,Protoss,36
Replay (49551).SC2Replay,55958,Mech Depot LE,20061,2,Defeat,Zerg,113,Zerg,184
Replay (49552).SC2Replay,55958,Acolyte LE,23,2,Defeat,Zerg,0,Protoss,0
Replay (49553).SC2Replay,55958,Mech Depot LE,31,2,Defeat,Zerg,0,Zerg,335
Replay (49554).SC2Replay,55958,Ascension to Aiur LE,16228,2,Defeat,Protoss,130,Protoss,190
Replay (49555).SC2Replay,55958,Acolyte LE,13568,2,Defeat,Terran,61,Terran,65
Replay (49556).SC2Replay,55958,Mech Depot LE,19855,2,Victory,Terran,71,Zerg,76
Replay (49557).SC2Replay,55958,Abyssal Reef LE,23077,2,Victory,Zerg,145,Protoss,103
Replay (49558).SC2Replay,55958,Acolyte LE,11,2,Defeat,Terran,0,Terran,0
Replay (49559).SC2Replay,55958,Interloper LE,4005,2,Defeat,Zerg,152,Protoss,166
Replay (49560).SC2Replay,55958,Interloper LE,9804,2,Defeat,Protoss,43,Terran,113
Replay (49561).SC2Replay,55958,Acolyte LE,14532,2,Victory,Protoss,194,Protoss,251
Replay (49562).SC2Replay,55958,Odyssey LE,17434,2,Victory,Terran,230,Protoss,142
Replay (49563).SC2Replay,55958,Interloper LE,1894,2,Victory,Protoss,207,Terran,166
Replay (49564).SC2Replay,55958,Mech Depot LE,29845,2,Defeat,Zerg,235,Terran,187
Replay (49565).SC2Replay,55958,Interloper LE,15206,2,Victory,Protoss,114,Terran,82
Replay (49566).SC2Replay,55958,Acolyte LE,24017,2,Defeat,Zerg,106,Protoss,114
Replay (49567).SC2Replay,55958,Abyssal Reef LE,31332,2,Victory,Terran,205,Terran,138
Replay (49568).SC2Replay,55958,Interloper LE,12482,2,Defeat,Terran,78,Protoss,247
Replay (49569).SC2Replay,55958,Abyssal Reef LE,77,2,Defeat,Terran,0,Terran,0
Replay (49570).SC2Replay,55958,Acolyte LE,13489,2,Victory,Terran,60,Zerg,104
Replay (49571).SC2Replay,55958,Catallena LE (Void),297,2,Defeat,Protoss,0,Protoss,18
